Словоформа,Частота (ipm),Капитализация
далеки,5.976268,lower
далекие,8.949386,lower
далекий,6.336646,lower
далеких,7.718095,lower
Далеко,10.180678,higher
далеко,149.22651,lower
далекого,5.045292,lower
далекой,7.928315,lower
далеком,8.61904,lower
Дали,5.075323,higher
дали,62.675735,lower
дало,10.601119,lower
даль,8.048441,lower
Дальнего,11.442,higher
дальнего,9.039481,lower
дальней,8.048441,lower
дальнейшего,15.856631,lower
дальнейшее,11.562126,lower
дальнейшей,10.150646,lower
дальнейшем,36.758553,lower
дальнейшие,5.736016,lower
дальнейших,7.267622,lower
Дальнем,10.571087,higher
дальнем,9.279733,lower
дальние,5.856142,lower
Дальний,8.739166,higher
дальний,8.649071,lower
дальних,9.8203,lower
Дальше,38.290159,higher
дальше,211.692025,lower
дам,25.646899,lower
Дама,5.856142,higher
дама,20.271261,lower
даму,5.285544,lower
дамы,18.469371,lower
дан,5.82611,lower
дана,6.21652,lower
Дании,5.495764,higher
Даниил,6.606929,higher
Данилин,6.186488,higher
Данная,7.357717,higher
данная,10.841371,lower
данного,35.677419,lower
данное,11.351906,lower
данной,46.3386,lower
данном,55.468176,lower
данному,7.838221,lower
данную,6.336646,lower
Данные,7.628,higher
данные,77.661452,lower
Данный,9.009449,higher
данный,35.797545,lower
данным,69.012381,lower
данными,12.493103,lower
данных,108.263548,lower
дано,17.117953,lower
Данте,6.396709,higher
дань,9.279733,lower
дар,25.827088,lower
Дарвина,6.636961,higher
дарит,5.165418,lower
даром,17.65852,lower
дары,6.606929,lower
Дарья,11.321874,higher
даст,29.550993,lower
Дата,5.345607,higher
дата,22.703812,lower
дату,8.498914,lower
даты,14.745465,lower
дать,91.475941,lower
дача,6.967307,lower
даче,21.802867,lower
дачи,11.171717,lower
дачу,19.790757,lower
Даша,20.691702,higher
даю,6.306614,lower
дают,53.876506,lower
даёт,15.676442,lower
Два,45.377592,higher
два,550.447315,lower
двадцати,29.010426,lower
двадцатого,7.597969,lower
двадцатых,7.357717,lower
Двадцать,12.793418,higher
двадцать,123.54958,lower
дважды,31.533072,lower
Две,25.767025,higher
две,274.007382,lower
двенадцати,11.411969,lower
двенадцать,27.839198,lower
дверей,22.643749,lower
двери,98.142933,lower
дверцу,9.550016,lower
Дверь,19.400347,higher
дверь,170.27859,lower
дверью,33.244868,lower
дверях,14.655371,lower
двести,23.995166,lower
двигались,8.408819,lower
двигался,7.537906,lower
двигателей,6.456772,lower
двигатель,12.973607,lower
двигателя,10.721245,lower
двигаться,22.944064,lower
Двигубский,12.493103,higher
движение,72.255783,lower
движением,21.232269,lower
движении,18.25915,lower
движений,14.955686,lower
движению,7.838221,lower
движения,98.563374,lower
движениями,5.225481,lower
движется,20.631639,lower
движутся,6.697024,lower
двинулись,8.679103,lower
двинулся,10.150646,lower
Двое,8.168567,higher
двое,49.612034,lower
двоих,19.700662,lower
двойной,9.700174,lower
двор,58.231073,lower
двора,30.181655,lower
дворах,5.345607,lower
дворе,69.462853,lower
Дворец,5.82611,higher
дворец,25.196426,lower
дворов,5.555827,lower
двору,11.772347,lower
дворца,21.622678,lower
дворце,11.922504,lower
дворцы,5.345607,lower
дворы,5.766047,lower
дворян,5.61589,lower
двум,21.352395,lower
двумя,94.05865,lower
двух,289.083193,lower
двухместный,5.345607,lower
двухсот,5.075323,lower
де,55.017703,lower
деваться,6.156457,lower
девиц,7.507874,lower
девица,9.339796,lower
девицы,6.81715,lower
девка,5.135386,lower
девочек,23.754914,lower
Девочка,20.511513,higher
девочка,70.664113,lower
девочке,11.081623,lower
Девочки,8.979418,higher
девочки,46.398663,lower
девочкой,13.03367,lower
девочку,23.87504,lower
девушек,24.26545,lower
Девушка,21.712773,higher
девушка,75.709405,lower
девушкам,5.01526,lower
девушками,5.135386,lower
девушке,13.724394,lower
Девушки,6.036331,higher
девушки,50.873356,lower
девушкой,13.24389,lower
девушку,27.208537,lower
девчонка,9.189638,lower
девчонки,10.390898,lower
девчонок,5.946236,lower
девяносто,13.424079,lower
девяностые,5.675953,lower
девяностых,10.871402,lower
девяти,12.282882,lower
девятнадцатого,5.40567,lower
девятого,5.315575,lower
девять,36.157923,lower
Дед,21.082111,higher
дед,44.026175,lower
Деда,5.40567,higher
деда,25.136363,lower
дедом,5.135386,lower
Дедушка,5.675953,higher
дедушка,18.289182,lower
дедушки,7.237591,lower
дежурный,5.585859,lower
Действие,5.105355,higher
действие,42.074128,lower
действием,16.487292,lower
действии,5.075323,lower
действий,53.245845,lower
Действительно,36.398175,higher
действительно,205.805851,lower
действительности,39.491419,lower
действительность,11.171717,lower
действию,6.21652,lower
действия,98.233028,lower
действиям,7.477843,lower
действиями,7.838221,lower
действиях,12.583197,lower
действовал,8.949386,lower
действовали,8.498914,lower
действовать,26.337623,lower
действует,29.49093,lower
действуют,18.108993,lower
действующего,5.195449,lower
действующей,6.576898,lower
действующие,6.937276,lower
действующим,6.066362,lower
действующих,11.592158,lower
декабре,25.646899,lower
декабрь,5.315575,lower
декабря,63.456554,lower
декорации,6.186488,lower
дел,77.241011,lower
Дела,5.045292,higher
дела,169.768054,lower
делаем,13.544205,lower
делает,105.410556,lower
делаете,8.22863,lower
делается,30.271749,lower
делаешь,14.565276,lower
делай,8.22863,lower
делал,59.882806,lower
делала,26.487781,lower
делали,49.011404,lower
делалось,7.688063,lower
делам,29.160584,lower
делами,18.349245,lower
делать,249.982184,lower
делах,19.520473,lower
делаю,18.829749,lower
делают,68.081404,lower
делаются,6.066362,lower
делая,17.718583,lower
деле,240.762514,lower
делегации,5.856142,lower
деление,6.486803,lower
деления,7.297654,lower
деликатно,6.066362,lower
делится,10.150646,lower
делить,7.177528,lower
делиться,10.841371,lower
Дело,77.721515,higher
дело,397.647056,lower
деловито,9.610079,lower
деловой,10.000489,lower
деловые,5.585859,lower
деловых,6.21652,lower
делом,52.495057,lower
делу,43.665797,lower
делятся,7.988378,lower
Демидов,6.606929,higher
демографического,8.799229,lower
демократии,36.818616,lower
демократических,7.597969,lower
демократического,5.705984,lower
демократической,8.859292,lower
демократию,6.486803,lower
демократия,16.577387,lower
демонстративно,9.009449,lower
демонстрации,13.724394,lower
демонстрация,7.267622,lower
демонстрировать,5.255512,lower
демонстрирует,15.43619,lower
демонстрируют,9.489953,lower
демонстрируя,6.697024,lower
Денег,9.42989,higher
денег,128.684966,lower
денежной,6.006299,lower
денежные,6.036331,lower
денежных,7.537906,lower
Денис,11.742315,higher
День,38.170033,higher
день,529.185015,lower
деньгами,23.394536,lower
деньгах,10.120615,lower
Деньги,19.160095,higher
деньги,234.485931,lower
Департамент,5.345607,higher
Департамента,14.144835,higher
департамента,18.709623,lower
депрессии,6.967307,lower
депутат,9.21967,lower
депутата,5.135386,lower
депутатов,12.973607,lower
депутаты,8.438851,lower
дерева,35.046757,lower
дереве,6.036331,lower
деревенской,5.886173,lower
деревень,8.949386,lower
деревне,39.191104,lower
деревни,34.956663,lower
деревню,21.082111,lower
деревня,14.625339,lower
деревнях,5.345607,lower
Дерево,7.237591,higher
дерево,32.343923,lower
деревом,9.880363,lower
дереву,7.898284,lower
деревьев,38.530411,lower
деревья,36.067828,lower
деревьями,11.171717,lower
деревянная,6.186488,lower
деревянного,6.126425,lower
деревянной,12.673292,lower
деревянную,6.006299,lower
деревянные,14.83556,lower
деревянный,13.424079,lower
деревянными,6.246551,lower
деревянных,11.83241,lower
держа,14.44515,lower
держав,5.645921,lower
державы,7.658032,lower
держал,29.190615,lower
держала,13.153796,lower
держалась,6.576898,lower
держали,13.273922,lower
держались,5.045292,lower
держался,10.811339,lower
держась,7.507874,lower
держат,11.83241,lower
держать,34.29597,lower
держаться,12.192788,lower
держит,26.728033,lower
держится,14.535245,lower
дернул,5.705984,lower
Дескать,6.096394,higher
дескать,27.418757,lower
десяти,42.254317,lower
десятилетие,12.493103,lower
десятилетий,19.25019,lower
десятилетия,34.50619,lower
десятилетиями,5.195449,lower
десятка,21.232269,lower
десятками,5.886173,lower
десятки,39.791734,lower
десятков,31.653198,lower
десятку,5.61589,lower
десяток,20.45145,lower
десятый,5.796079,lower
Десять,8.859292,higher
десять,135.59221,lower
деталей,18.979906,lower
детали,34.8966,lower
деталь,11.83241,lower
детально,8.078473,lower
деталях,9.42989,lower
Детей,6.276583,higher
детей,246.138152,lower
Дети,31.352883,higher
дети,137.544258,lower
детская,11.712284,lower
детские,23.724883,lower
детский,22.823938,lower
детским,9.249701,lower
детских,24.385576,lower
детского,21.352395,lower
детское,6.907244,lower
детской,32.073639,lower
детском,10.601119,lower
детскую,11.201749,lower
детства,55.498207,lower
детстве,51.443955,lower
детство,19.070001,lower
детьми,48.020364,lower
детям,41.773813,lower
детях,11.23178,lower
дефицит,11.862441,lower
дефицита,7.868252,lower
дешевле,19.910883,lower
дешево,5.105355,lower
дешевые,6.276583,lower
дешевый,5.585859,lower
дешевых,6.126425,lower
деяния,5.315575,lower
деятелей,14.084772,lower
деятели,7.117465,lower
деятель,8.468882,lower
деятельности,194.514008,lower
деятельность,78.742586,lower
деятельностью,19.009938,lower
деятеля,5.105355,lower
Дж.,9.610079,higher
Джеймс,9.8203,higher
Джек,5.195449,higher
джинсах,6.276583,lower
джинсов,5.105355,lower
джинсы,14.204898,lower
Джо,5.075323,higher
Джон,17.358205,higher
Джона,9.039481,higher
Джордж,6.576898,higher
Дзюба,11.201749,higher
ди,6.666992,lower
диагноз,12.613229,lower
диагностики,10.931465,lower
диалог,18.949875,lower
диалога,10.931465,lower
диаметр,7.177528,lower
диаметром,11.592158,lower
диапазон,5.946236,lower
диапазоне,11.592158,lower
диван,21.142174,lower
дивана,10.480993,lower
диване,20.181166,lower
дивизии,8.61904,lower
дизайн,11.562126,lower
дизайна,14.955686,lower
дизайнера,5.01526,lower
дизайнеров,5.976268,lower
дикие,8.679103,lower
дикий,6.967307,lower
диким,5.916205,lower
диких,11.02156,lower
дико,8.438851,lower
дикой,10.901434,lower
ДиКСи,8.048441,higher
диктатуры,6.787118,lower
Дима,22.343434,higher
Дина,5.555827,higher
динамика,9.850331,lower
динамике,7.087433,lower
динамики,12.222819,lower
динамику,9.369827,lower
династии,12.282882,lower
динозавров,8.468882,lower
диплом,11.171717,lower
Директор,15.135875,higher
директор,70.423861,lower
директора,43.815955,lower
директоров,13.694363,lower
директором,21.892962,lower
директору,8.258662,lower
диск,10.691213,lower
диска,6.306614,lower
диски,5.255512,lower
дискурс,5.675953,lower
дискурса,6.907244,lower
дискуссии,19.46041,lower
дискуссий,7.537906,lower
дискуссия,6.546866,lower
диссертации,13.03367,lower
диссертацию,10.721245,lower
дистанции,6.036331,lower
дистанцию,5.736016,lower
дистиллерии,5.255512,lower
дисциплин,6.81715,lower
дисциплина,6.336646,lower
дисциплины,13.84452,lower
дитя,12.973607,lower
длилось,5.075323,lower
длина,12.132725,lower
длине,5.886173,lower
длинная,13.333985,lower
длиннее,7.117465,lower
длинного,6.126425,lower
длинное,6.186488,lower
длинной,17.268111,lower
длинном,5.645921,lower
длинную,10.480993,lower
длинные,31.983545,lower
длинный,23.814977,lower
длинным,11.712284,lower
длинными,16.457261,lower
длинных,14.655371,lower
длиной,19.430379,lower
длину,11.02156,lower
длины,11.532095,lower
длительного,8.649071,lower
длительное,6.096394,lower
длится,8.679103,lower
Для,339.656235,higher
для,3070.900791,lower
Дмитриевич,6.997339,higher
Дмитрий,70.874334,higher
Дмитрия,24.896111,higher
дна,20.751765,lower
дне,32.734332,lower
Дневник,6.606929,higher
дневник,17.298142,lower
дневника,8.408819,lower
дневнике,16.006788,lower
дневники,6.937276,lower
дней,165.833928,lower
Днем,10.300804,higher
днем,49.882317,lower
дни,111.867328,lower
ДНК,71.685184,higher
дно,21.953025,lower
дну,7.477843,lower
дню,10.601119,lower
Дня,6.246551,higher
дня,205.77582,lower
днями,11.83241,lower
днях,15.316064,lower
днём,8.799229,lower
До,133.129628,higher
до,1996.554006,lower
добавил,33.785435,lower
добавила,12.43304,lower
добавить,24.205387,lower
добавляет,12.823449,lower
добавляют,5.675953,lower
добиваться,6.576898,lower
добились,5.465733,lower
добился,10.330835,lower
добиться,28.409796,lower
добра,20.031009,lower
добрались,8.649071,lower
добрался,10.541056,lower
добраться,19.85082,lower
добрая,10.571087,lower
добро,18.949875,lower
добровольно,12.012599,lower
доброго,11.592158,lower
доброе,9.21967,lower
доброй,10.150646,lower
добром,7.988378,lower
добрые,16.03682,lower
Добрый,7.117465,higher
добрый,18.379276,lower
добрым,11.952536,lower
добрых,8.679103,lower
добывать,5.856142,lower
добыть,5.165418,lower
добыча,9.249701,lower
добыче,5.045292,lower
добычей,8.168567,lower
добычи,18.769686,lower
добычу,14.264961,lower
довелось,12.553166,lower
доверие,12.64326,lower
доверия,16.937764,lower
доверять,8.468882,lower
довести,9.850331,lower
Довлатов,5.40567,higher
доводилось,5.675953,lower
доводы,5.375638,lower
доволен,11.081623,lower
Довольно,12.192788,higher
довольно,198.868575,lower
довольны,7.567937,lower
довольный,6.366677,lower
догадалась,6.396709,lower
догадался,15.346095,lower
догадаться,9.880363,lower
догадывался,6.997339,lower
догнать,6.306614,lower
договариваться,5.736016,lower
договор,26.397686,lower
договора,19.910883,lower
договоренности,5.435701,lower
договорились,14.294993,lower
договорился,6.156457,lower
договориться,13.153796,lower
договоров,6.396709,lower
договоры,5.585859,lower
доехать,5.465733,lower
дождавшись,6.997339,lower
дождался,6.336646,lower
дождаться,8.078473,lower
дождей,5.886173,lower
дождем,8.438851,lower
дожди,7.958347,lower
Дождь,6.636961,higher
дождь,37.50934,lower
дождя,19.730694,lower
дожидаясь,10.751276,lower
дойдет,5.045292,lower
дойти,10.661182,lower
доказал,6.126425,lower
доказательств,8.859292,lower
доказательства,11.02156,lower
доказательство,9.159607,lower
доказать,21.142174,lower
доказывает,6.576898,lower
доказывать,6.576898,lower
Доклад,6.006299,higher
доклад,17.898772,lower
доклада,11.952536,lower
докладе,11.111654,lower
докладом,5.976268,lower
доклады,5.285544,lower
Доктор,15.466221,higher
доктор,52.94553,lower
доктора,29.641088,lower
доктором,7.808189,lower
доктору,5.856142,lower
документ,23.094221,lower
документа,31.533072,lower
документам,6.636961,lower
документами,11.922504,lower
документах,12.793418,lower
документации,6.126425,lower
документе,7.297654,lower
документов,59.612522,lower
Документы,5.946236,higher
документы,56.669435,lower
долг,26.037308,lower
долга,15.496253,lower
долги,10.060552,lower
долгие,22.553654,lower
долгий,10.781308,lower
долгим,6.066362,lower
долгих,11.291843,lower
Долго,20.151135,higher
долго,219.710435,lower
долгов,7.057402,lower
долгого,9.129575,lower
Долгое,6.81715,higher
долгое,24.775985,lower
долгой,12.64326,lower
долгом,6.757087,lower
долгу,6.006299,lower
долгую,7.237591,lower
долей,12.733355,lower
Должен,5.585859,higher
должен,293.167477,lower
должна,163.67166,lower
Должно,7.447811,higher
должно,147.694904,lower
должного,5.495764,lower
должное,10.42093,lower
должности,32.704301,lower
должностных,6.697024,lower
должность,29.761214,lower
должны,260.282987,lower
доли,18.85978,lower
долине,9.880363,lower
долину,5.555827,lower
долины,7.628,lower
долл,32.253828,lower
долл.,5.465733,lower
доллар,7.41778,lower
доллара,11.862441,lower
долларов,92.166665,lower
доложил,5.886173,lower
дольше,26.758064,lower
долю,30.842348,lower
Доля,7.087433,higher
доля,40.51249,lower
Дом,44.867057,higher
дом,236.67823,lower
Дома,42.614695,higher
дома,367.495433,lower
домам,11.532095,lower
домами,9.850331,lower
домах,19.340284,lower
домашнего,12.64326,lower
домашнее,6.336646,lower
домашней,11.982567,lower
домашние,10.03052,lower
домашний,8.889323,lower
домашним,5.916205,lower
домашних,15.856631,lower
Доме,14.955686,higher
доме,147.004179,lower
домик,15.556316,lower
домика,6.276583,lower
домике,6.276583,lower
домики,6.246551,lower
домов,52.254805,lower
Домой,8.679103,higher
домой,164.692731,lower
домом,25.376615,lower
дому,48.711089,lower
Дон,11.922504,higher
донести,7.808189,lower
дополнение,6.666992,lower
дополнительно,8.799229,lower
дополнительного,15.616379,lower
дополнительное,6.186488,lower
дополнительной,8.348756,lower
дополнительную,6.156457,lower
дополнительные,19.640599,lower
дополнительный,8.168567,lower
дополнительных,17.027859,lower
допрос,5.345607,lower
допускает,5.645921,lower
Допустим,9.850331,higher
допустим,18.799717,lower
допустить,16.156946,lower
дорог,24.505702,lower
Дорога,12.372977,higher
дорога,38.890789,lower
дорогам,6.276583,lower
дорогах,8.709134,lower
дорогая,14.114804,lower
дороге,86.490712,lower
дороги,74.718365,lower
дорогие,20.211198,lower
дорогим,6.937276,lower
дорогих,13.273922,lower
дорого,20.901922,lower
дорогого,7.928315,lower
дорогое,7.778158,lower
Дорогой,8.01841,higher
дорогой,44.626805,lower
дорогу,76.189909,lower
дороже,21.682741,lower
дорожке,8.198599,lower
дорожки,8.168567,lower
дорожку,5.495764,lower
дорожного,8.01841,lower
дорожной,5.225481,lower
досадой,5.075323,lower
доселе,5.736016,lower
доска,7.087433,lower
доске,10.961497,lower
доски,18.799717,lower
доску,10.090583,lower
досок,7.477843,lower
доставили,6.066362,lower
доставить,7.087433,lower
доставки,7.02737,lower
достает,8.558977,lower
достал,34.956663,lower
достала,13.394048,lower
досталась,8.138536,lower
досталось,10.691213,lower
достался,6.396709,lower
достанется,5.195449,lower
Достаточно,18.469371,higher
достаточно,180.038827,lower
достаточной,5.315575,lower
достать,15.706473,lower
достиг,14.204898,lower
достигает,18.409308,lower
достигается,6.456772,lower
достигать,5.82611,lower
достигают,5.61589,lower
достигла,10.991528,lower
достигли,11.111654,lower
достигнет,6.096394,lower
достижение,12.372977,lower
достижений,15.886662,lower
достижения,35.226946,lower
достичь,18.829749,lower
достоверно,7.327685,lower
достоверности,5.61589,lower
Достоевский,11.562126,higher
Достоевского,20.781796,higher
достоинства,18.289182,lower
достоинство,12.793418,lower
достоинством,9.279733,lower
достойно,9.790268,lower
достойное,5.585859,lower
достойный,6.186488,lower
достоянием,6.42674,lower
доступ,33.425057,lower
доступа,29.971434,lower
доступно,5.61589,lower
доступной,5.82611,lower
доступности,13.664331,lower
доступность,7.177528,lower
доступны,8.859292,lower
доступным,5.61589,lower
доступных,6.546866,lower
досуга,7.207559,lower
дотянуться,5.315575,lower
доход,10.661182,lower
дохода,8.108504,lower
доходит,9.369827,lower
доходов,21.322363,lower
доходы,14.355056,lower
доцент,5.946236,lower
дочерей,11.802378,lower
дочери,55.828554,lower
дочерью,13.784457,lower
дочка,16.877702,lower
дочки,7.748126,lower
дочкой,6.997339,lower
дочку,9.640111,lower
Дочь,9.519985,higher
дочь,88.352665,lower
дошел,9.249701,lower
дошла,8.438851,lower
дошли,13.063701,lower
дошло,13.724394,lower
др,30.181655,lower
др.,35.10682,lower
Драгана,5.345607,higher
драгоценные,5.345607,lower
драгоценных,5.40567,lower
драки,7.958347,lower
дракон,5.465733,lower
дракона,6.126425,lower
драма,6.396709,lower
драмы,9.249701,lower
драться,5.705984,lower
древесины,5.01526,lower
Древнего,5.345607,higher
древнего,15.556316,lower
древнее,7.237591,lower
Древней,8.679103,higher
древней,16.997827,lower
древнейших,8.528945,lower
древние,23.87504,lower
древний,12.703323,lower
древним,6.636961,lower
древних,37.29912,lower
древности,16.907733,lower
древняя,7.868252,lower
Дрим,5.796079,higher
дров,8.408819,lower
дрова,12.733355,lower
дрожали,5.675953,lower
дрожит,5.105355,lower
дрожь,7.357717,lower
Друг,6.096394,higher
друг,340.677306,lower
друга,190.880197,lower
Другая,15.466221,higher
другая,75.589279,lower
друге,5.946236,lower
Другие,25.406647,higher
другие,288.662752,lower
Другим,6.516835,higher
другим,118.504288,lower
Другими,8.22863,higher
другими,88.562886,lower
Других,5.105355,higher
других,373.441669,lower
Другого,5.525796,higher
другого,120.876777,lower
Другое,19.039969,higher
другое,122.198163,lower
Другой,30.572064,higher
другой,396.836206,lower
другом,135.952588,lower
другому,39.431356,lower
другу,83.4275,lower
другую,87.601878,lower
дружба,11.712284,lower
дружбе,7.868252,lower
дружбу,6.787118,lower
дружбы,10.931465,lower
дружили,5.465733,lower
дружить,7.057402,lower
дружно,15.165906,lower
друзей,51.864396,lower
Друзья,7.718095,higher
друзья,48.380742,lower
друзьям,13.394048,lower
друзьями,24.86608,lower
дрянь,7.507874,lower
дует,5.61589,lower
думаем,6.186488,lower
думает,40.362332,lower
думаете,20.66167,lower
думается,6.096394,lower
Думаешь,7.02737,higher
думаешь,30.421907,lower
думай,8.438851,lower
Думал,7.117465,higher
думал,128.294557,lower
думала,50.452916,lower
думали,24.445639,lower
думать,87.061311,lower
Думаю,34.926631,higher
думаю,105.861028,lower
думают,21.712773,lower
думая,17.508363,lower
Думы,6.967307,higher
думы,8.82926,lower
дура,16.877702,lower
дурак,20.781796,lower
дурака,7.147496,lower
дураков,5.315575,lower
дурной,7.087433,lower
Дух,11.351906,higher
дух,53.576191,lower
Духа,8.288693,higher
духа,31.983545,lower
духами,5.465733,lower
духе,31.713261,lower
духи,11.411969,lower
духов,12.493103,lower
духовенства,10.751276,lower
духовная,6.727055,lower
духовно,14.865591,lower
духовного,20.06104,lower
духовное,10.060552,lower
духовной,27.779135,lower
духовную,7.838221,lower
духовные,8.378788,lower
духовный,8.408819,lower
духовным,6.576898,lower
духовных,12.583197,lower
духом,19.940914,lower
духу,11.892473,lower
душ,24.205387,lower
Душа,9.369827,higher
душа,54.056695,lower
душе,51.383892,lower
душевной,6.576898,lower
души,85.589767,lower
душно,5.01526,lower
душой,20.541544,lower
душу,59.282176,lower
дым,24.385576,lower
дыма,16.337135,lower
дымом,8.288693,lower
дыр,6.606929,lower
дыра,6.967307,lower
дыру,7.147496,lower
дыры,13.183827,lower
дыхание,33.635277,lower
дыхания,12.553166,lower
дыша,6.516835,lower
дышал,6.81715,lower
дышать,18.529434,lower
дышит,12.43304,lower
дьявол,5.285544,lower
Дэвид,5.796079,higher
дяде,6.546866,lower
дядей,7.898284,lower
дяди,14.505213,lower
дядька,6.516835,lower
дядю,7.357717,lower
Дядя,16.517324,higher
дядя,47.389703,lower
е,9.159607,lower
Е.,97.091831,higher
е.,61.534538,lower
Ева,10.000489,higher
Евангелие,6.516835,higher
Евангелия,7.357717,higher
Евгений,37.058868,higher
Евгения,26.728033,higher
Евдокия,13.24389,higher
Евразии,6.42674,higher
евреев,19.640599,lower
евреи,12.463071,lower
еврей,9.640111,lower
еврейской,6.636961,lower
евро,35.377104,lower
Европа,18.289182,higher
Европе,73.306885,higher
европейская,5.766047,lower
европейские,12.583197,lower
европейский,7.207559,lower
европейским,6.096394,lower
европейскими,5.105355,lower
европейских,32.013576,lower
Европейского,6.366677,higher
европейского,13.604268,lower
Европейской,5.315575,higher
европейской,29.49093,lower
европейском,5.105355,lower
европейцев,8.22863,lower
европейцы,6.096394,lower
Европой,6.516835,higher
Европу,23.905072,higher
Европы,68.141467,higher
Евросоюза,5.916205,higher
Евстигней,6.036331,higher
Евтушенко,11.982567,higher
Египет,12.703323,higher
Египта,17.328174,higher
Египте,12.493103,higher
Его,283.767618,higher
его,3974.2182,lower
Егор,13.24389,higher
ЕГЭ,10.781308,higher
еда,13.394048,lower
Едва,17.238079,higher
едва,139.856683,lower
еде,6.456772,lower
едем,11.862441,lower
едет,19.700662,lower
единая,6.787118,lower
единиц,14.204898,lower
единицы,11.892473,lower
единого,29.791245,lower
единое,11.772347,lower
Единой,5.40567,higher
единой,25.767025,lower
единства,13.424079,lower
Единственная,6.036331,higher
единственная,24.055229,lower
единственно,13.874552,lower
единственного,10.871402,lower
Единственное,14.084772,higher
единственное,24.565765,lower
единственной,23.304442,lower
единственном,6.21652,lower
единственную,7.327685,lower
Единственный,8.709134,higher
единственный,52.735309,lower
Единственным,5.01526,higher
единственным,32.49408,lower
единство,15.286032,lower
единую,10.511024,lower
единый,15.075812,lower
единым,8.438851,lower
едой,10.060552,lower
еду,30.932442,lower
едут,12.012599,lower
еды,25.376615,lower
едят,13.394048,lower
Ее,90.605027,higher
ее,1786.363556,lower
ежегодно,25.0763,lower
ежедневно,21.442489,lower
ежели,7.537906,lower
ездил,20.631639,lower
ездила,7.567937,lower
ездили,13.904583,lower
ездит,7.297654,lower
ездить,21.082111,lower
езды,5.645921,lower
ездят,7.387748,lower
Ей,52.675246,higher
ей,513.088132,lower
Екатерина,29.250678,higher
Екатеринбург,6.006299,higher
Екатеринбурге,5.315575,higher
Екатерины,13.784457,higher
ел,18.679591,lower
ела,8.258662,lower
еле,39.341262,lower
Елена,41.263277,higher
Елены,12.493103,higher
ели,21.082111,lower
Елизавета,14.745465,higher
Елизаветы,9.459922,higher
елки,5.195449,lower
Ельцин,6.636961,higher
Ельцина,7.177528,higher
ем,5.195449,lower
Ему,104.599705,higher
ему,1019.539303,lower
епархии,11.111654,lower
епископ,8.348756,lower
епископа,6.697024,lower
ерунда,9.159607,lower
Ершова,6.42674,higher
ЕС,21.562615,higher
Есенин,8.558977,higher
Есенина,7.087433,higher
Если,654.236169,higher
если,1269.641613,lower
ест,14.325024,lower
Естественно,24.715922,higher
естественно,62.165199,lower
естественного,13.874552,lower
естественное,6.306614,lower
естественной,10.961497,lower
естественные,6.42674,lower
естественный,10.571087,lower
естественным,15.075812,lower
естественных,13.153796,lower
Есть,149.166447,higher
есть,1376.013176,lower
Ефрем,5.255512,higher
ехал,19.25019,lower
ехала,7.057402,lower
ехали,18.739654,lower
ехать,50.693168,lower
ешь,6.907244,lower
Еще,201.421253,higher
еще,1733.808436,lower
Ещё,41.233246,higher
ещё,352.38959,lower
ею,52.705278,lower
Её,23.784946,higher
её,356.533936,lower
ж,138.775549,lower
Ж.,13.153796,higher
жадно,14.204898,lower
жажда,5.075323,lower
Жак,6.186488,higher
жалел,5.976268,lower
жалеть,7.658032,lower
Жалко,7.087433,higher
жалко,35.196915,lower
жалобно,8.108504,lower
жалобы,7.628,lower
жаловалась,5.255512,lower
жаловался,7.297654,lower
жаловаться,9.670142,lower
жалости,7.477843,lower
жалость,6.576898,lower
жалуется,5.315575,lower
Жаль,18.889812,higher
жаль,24.175355,lower
Жан,5.195449,higher
Жанна,5.946236,higher
жанр,14.174867,lower
жанра,14.985717,lower
жанре,8.679103,lower
жанров,5.105355,lower
жар,7.357717,lower
жара,11.592158,lower
жарко,14.475182,lower
жаром,5.705984,lower
жару,8.01841,lower
жары,6.967307,lower
Жарынин,10.811339,higher
ждал,42.404474,lower
ждала,28.169544,lower
ждали,30.572064,lower
ждать,65.58879,lower
ждем,7.297654,lower
ждет,44.506679,lower
жди,6.246551,lower
жду,12.222819,lower
ждут,27.809167,lower
ждёт,7.387748,lower
же,3026.574301,lower
желает,11.772347,lower
желал,10.330835,lower
желание,55.378081,lower
желанием,11.772347,lower
желании,17.087922,lower
желаний,8.739166,lower
желанию,10.270772,lower
желания,31.953513,lower
желательно,10.330835,lower
желать,5.255512,lower
желаю,6.306614,lower
желающие,6.066362,lower
желающих,15.766536,lower
желая,19.700662,lower
железа,21.382426,lower
железная,8.558977,lower
железнодорожного,8.348756,lower
железнодорожной,6.847181,lower
железнодорожных,6.336646,lower
железной,24.685891,lower
железную,6.787118,lower
железные,12.192788,lower
железный,8.558977,lower
железным,5.285544,lower
железных,11.622189,lower
железо,11.922504,lower
железом,5.856142,lower
железы,5.766047,lower
желтого,5.796079,lower
желтой,7.628,lower
желтые,10.901434,lower
желтый,10.961497,lower
желтым,5.555827,lower
желтыми,5.886173,lower
желтых,5.82611,lower
желудка,5.766047,lower
желудок,7.628,lower
жен,9.970457,lower
Жена,25.556804,higher
жена,123.369391,lower
женат,9.249701,lower
жене,35.317041,lower
женился,20.541544,lower
жениться,15.706473,lower
жених,8.739166,lower
жениха,11.02156,lower
женой,55.55827,lower
женская,10.000489,lower
женские,14.174867,lower
женский,18.85978,lower
женским,7.087433,lower
женских,14.685402,lower
женского,19.670631,lower
